,Name,Reference,Pantheon,Align,Rank,Nicknames / Portfolio,Domains,Weapon,Symbol
227,Kossuth ,"(F&P p035) 
(DR323 p65)+",Forgotten Realms,N,G,"“Lord of Flames”, “The Firelord”
Elemental Fire, Purification through Fire","Destruction, Fire, Renewal, Suffering, Wrath","Spiked Chain
(tendril of flame)",Twining Red Flame
228,Lathander ,"(F&P p037) 
(DR321 p68)+ 
(DR355 p26)+",Forgotten Realms,NG,G,"“The Morninglord”
Athletics, Birth, Creativity, Dawn, Renewal, Spring, Vitality, Youth","Chastity, Good, Nobility, Protection, Radiance, Renewal, Strength, Sun, Zeal","Mace, Light –or– Mace, Heavy
“Dawnspeaker”","Sunrise made of Rose, Red, & Yellow Gems"
229,Lliira ,"(F&P p099) 
(DR321 p68)+
(DR323 p65)+",Forgotten Realms,CG,L,"“Our Lady of Joy”, “Joybringer”, “Mistress of the Revels”
Joy, Happiness, Dance, Festivals, Freedom, Liberty","Chaos, Charm, Family, Good, Lust, Radiance, Sloth, Travel","Shuriken
“Sparkle”",Triangle of three six-pointed Stars
230,Loviatar ,"(F&P p100)
(DR323 p065)+",Forgotten Realms,LE,L,"“Maiden of Pain”, “The Willing Whip”
Pain, Hurt, Agony, Torment, Suffering, Torture","Evil, Law, Lust, Retribution, Strength, Suffering, Wrath","Scourge
“Painbringer”",Nine-tailed Barbed Scourge
231,Lurue ,"(F&P p101) 
(DR355 p26)+",Forgotten Realms,CG,D,"“The Unicorn Queen”, “Queen of the Talking Beasts”
Wizards, Spellcasters in General, Monks (Shining Hand)","Illusion, Knowledge, Magic, Law, Spell, Zeal","Shortspear
(a unicorn’s horn)",Unicorn head in front of the Moon
232,Malar ,"(F&P p043) 
(DR323 p65)+
(DR342 p89)+",Forgotten Realms,CE,L,"“The Beastlord”, “The Black-Blooded Pard”
Bloodlust, Evil Lycantropes, Hunters, Marauding Beasts and Monsters, Stalking","Animal, Chaos, Evil, Gluttony, Hunt, Moon, Strength, Wrath","Claw Bracer
(beast claws)",Bestial Claw with Fur and Bloody Talons
233,Mask ,"(F&P p045)
(RoD p162)+ 
(DR323 p65)+",Forgotten Realms,NE,L,"“Master of All Thieves”, “Lord of Shadows”
Assassins, Beggars, Criminals, Rogues, Shades, Shadowdancers","City, Darkness, Evil, Greed, Luck, Sloth, Trickery","Longsword
“Stealthwhisper”",Black Velvet Mask tinged with Red
234,Mielikki ,(F&P p048),Forgotten Realms,NG,I,"“Our Lady of the Forest”, “The Forest Queen”
Autumn, Dryads, Forest Creatures, Forests, Rangers","Animal, Good, Plant, Travel","Scimitar
“The Hornblade”",Gold-Horned Blue-Eyed Unicorn’s Head facing Left
235,Milil ,"(F&P p102) 
(DR323 p65)+",Forgotten Realms,CG,L,"“Lord of Song”, “The One True Hand of All-Wise Oghma”
Poetry, Song, Eloquence","Charm, Good, Knowledge, Nobility, Sloth","Rapier
“Sharptongue”",Five-stringed Harp made of Silver Leaves
236,Mystra ,(F&P p050),Forgotten Realms,NG,G,"“The Lady of Mysteries”, “The Mother of All Magic”
Magic, Spells, The Weave","Good, Illusion, Knowledge, Magic, Rune, Spell","Shuriken
(seven whirling stars)",Circle of seven blue-white Stars with Red Mist flowing from the Center
237,Nobanion ,"(F&P p102) 
(DR323 p65)+",Forgotten Realms,LG,D,"“Lord Firemane”, “King of the Beasts”
Royalty, Lions & Feline Beasts, Good Beasts","Animal, Good, Law, Nobility, Pride","Pick, Heavy
(a lion’s head)",Male Lion’s Head on a Green Shield
238,Oghma ,"(F&P p052) 
(DR323 p65)+",Forgotten Realms,N,G,"“The Lord of Knowledge”, “Binder of What is Known”
Bards, Inspiration, Invention, Knowledge","Charm, Balance, Knowledge, Luck, Pride, Travel, Trickery","Longsword
“Mortal Strike”",Blank Scroll
239,Red Knight ,"(F&P p103)
(DR317 p83) 
(DR355 p26)+",Forgotten Realms,LN,D,"“Lady of Strategy”, “Grandmaster of the Lanceboard”
Strategy, Planning, Tactics","Law, Nobility, Planning, Temperance, War","Longsword
“Checkmate”",Red Knight Chess Piece with Stars for Eyes
240,Savras ,(F&P p104),Forgotten Realms,LN,D,"“The All-Seeing”, “He of the Third Eye”, “Lord of Divination” 
Divination, Fate, Truth","Destiny, Fate, Knowledge, Law, Magic, Spell","Dagger
“The Eyes of Savras”",Crystal Ball containing many kinds of Eyes
241,Selûne ,"(F&P p055)
(DR342 p89)+ 
(DR355 p26)+",Forgotten Realms,CG,I,"“The Lady of Silver”, “The Moonmaiden”
Good & Neutral Lycantropes, Moon, Navigation, Stars","Chaos, Chastity, Good, Moon, Night, Protection, Travel","Mace, Heavy
“Rod of Four Moons”",Pair of Female Eyes surrounded by Seven Silver Stars
242,Shar ,"(F&P p058) 
(DR323 p65)+
(DR342 p89)+",Forgotten Realms,NE,G,"“Mistress of the Night”, “Lady of Loss”, “Dark Goddess”
Caverns, Dark, Dungeons, Forgetfulness, Loss, Night, Secrets of the Underdark","Cavern, Darkness, Envy, Evil, Knowledge, Night, Pride","Chakram
“Disk of Night”",Black Disk with Deep Purple Border
243,Sharess ,"(F&P p105)
(DR323 p65)+",Forgotten Realms,CG,D,"“The Dancing Lady”, “The Mother of Cats”
Hedonism, Sensual Fulfillment, Feasthalls, Cats","Chaos, Charm, Envy, Good, Lust, Sloth, Travel, Trickery","Claw Bracer
(a great cat’s paw”",Feminine Lips
244,Shaundakul ,(F&P p060),Forgotten Realms,CN,L,"“Rider of the Winds”, “The Helping Hand”
Travel, Exploration, Portals, Miners, Caverns","Air, Chaos, Portal’, Protection, Trade, Travel","Greatsword
“Sword of Shadows”",Wind-Walking Bearded Man in Travel’s Cape and Boots
245,Shiallia ,(F&P p105),Forgotten Realms,NG,D,"“Dancer in the Glades”, “Daughter of the High Forest”
Woodland Glades, Woodland Fertility, The High Forest, Neverwinter Wood","Animal, Good, Plant, Renewal","Quarterstaff
“Forest’s Friend”",Golden Acorn
246,Siamophe ,"(F&P p106) 
(DR323 p65)+",Forgotten Realms,LN,D,"“The Divine Right”
Nobles, Rightful Rule of Nobility, Human Royalty","Knowledge, Law, Nobility, Planning, Pride","Mace, Light
(scepter)
“Noble Might”",Silver Chalice with a Golden Sun on the Side
247,Silvanus ,(F&P p063),Forgotten Realms,N,G,"“Oak Father”, “The Forest Father”
Wild Nature, Druids","Animal, Plant, Protection, Renewal, Water","Maul
“Great Mallet of Silvanus”",Green Living Oak Leaf
248,Sune ,"(F&P p065) 
(DR323 p65)+",Forgotten Realms,CG,G,"“Lady Firehair”
Beauty, Passion, Love","Chaos, Charm, Good, Lust, Pride, Protection","Whip
(silken sash)",Face of Red-Haired Woman
249,Talona ,"(F&P p107)
(DR323 p65)+",Forgotten Realms,CE,L,"“Lady of Poison”, “Mistress of Disease”, “Mother of All Plagues”
Disease, Poison","Chaos, Destruction, Envy, Evil, Suffering","Unarmed Strike
(scabrous hand)",Three Amber Teardrops on a Purple Triangle
250,Talos ,"(F&P p068) 
(DR323 p65)+",Forgotten Realms,CE,G,"“The Destroyer”, “The Storm Lord”
Storms, Destruction, Rebellion, Conflagration, Earthquakes, Vortices","Chaos, Destruction, Evil, Fire, Storm, Wrath","Longspear, Shortspear, –or–Halfspear
(lightning bolt)",Explosive Lightning Strike
251,Tempus ,"(F&P p071) 
(DR323 p65)+",Forgotten Realms,CN,G,"“Lord of Battle”, “Foehammer”
War, Battle, Warriors","Chaos, Pride, Protection, Strength, War, Wrath","Battleaxe
“Battle Prowess”",Sword on a Blood-Red Shield
252,Torm ,"(F&P p074) 
(DR323 p65)+ 
(DR355 p26)+",Forgotten Realms,LG,L,"“The True”, “The True Deity”, “The Loyal Fury”
Duty, Loyalty, Obedience, Paladins","Good, Healing, Law, Pride, Protection, Strength, Zeal","Greatsword
“Duty’s Bond”",Right-Hand Gauntlet Upright with Palm Forward
253,Tymora ,"(F&P p077) 
(DR323 p65)+ 
(DR355 p26)+",Forgotten Realms,CG,I,"“Lady Luck”, “The Lady who Smiles”, “Our Smiling Lady”
Good Fortune, Skill, Victory, Adventurers","Chaos, Generosity, Good, Luck, Protection, Sloth, Travel","Shuriken
(spinning coin)",Silver coin featuring Tymora’s Face surrounded by Shamrocks
254,Tyr’ ,"(F&P p079) 
(DR323 p65)+ 
(DR355 p26)+",Forgotten Realms,LG,G,"“The Even-Handed”, “The Maimed God”, “The Just God”
Justice","Good, Knowledge, Law, Patience, Pride, Retribution, Temperance, War","Longsword
“Justicar”",Balanced Scales resting on a Warhammer
255,Ubtao ,(F&P p108) (DR323 p65)+,Forgotten Realms,N,G,"“Creator of Chult”, “Founder of Mezra”, “Father of Dinosaurs”
Creation, Jungles, Chult, The Chultans, Dinosaurs","Balance, Planning, Plant, Pride, Protection, Scalykind","Pick, Heavy
(tyrannosaurus head)",Maze
256,Umberlee ,"(F&P p082)
(Storm p49) 
(DR323 p65)+",Forgotten Realms,CE,I,"“The Bitch Queen”, “Queen of the Depths”
Oceans, Currents, Waves, Sea Winds","Chaos, Destruction, Envy, Evil, Gluttony, Ocean, Pride, Storm, Watery Death, Water, Wrath",Trident,Blue-Green Wave Curling Left & Right
257,Uthgar ,"(F&P p084) 
(DR323 p65)+",Forgotten Realms,CN,L,"“Father of the Uthgards”, “Battle Father”
Uthgardt Barbarian Tribes, Physical Strength","Animal, Chaos, Retribution, Strength, War, Wrath",Battleaxe,Image of Beast Totem Spirit
258,Velsharoon ,"(F&P p110)
(DR323 p65)+",Forgotten Realms,NE,D,"“The Vaunted”, “Archmage of Necromancy”, “Lord of the Forsaken Crypt”
Necromancy, Necromancers, Evil Liches, Undeath","Death, Envy, Evil, Greed, Magic, Pride, Undeath","Quarterstaff
“Skull Staff of the Necromancer”",Crowned Laughing Lich Skull on a Black  Hexagon
259,Waukeen ,"(F&P p087)
(RoD p162)+ 
(DR323 p65)+",Forgotten Realms,N,L,"“Merchant’s Friend”
Trade, Money, Wealth","Balance, City, Greed, Knowledge, Pride, Protection, Sloth, Travel, Trade","Nunchaku
(cloud of coins)",Gold Coin with Waukeen’s profile facing Left
260,Waukeen – Harlot’s Coin Heresy ,(DR355 p72),Forgotten Realms,CE,L,Heresy – Waukeen’s divinity has been traded to Graz’zt,"Demonic, Knowledge, Temptation, Trade",Bastard Sword,Gold Coin with Waukeen’s profile facing Left
261,Aengrist ,(Frost p42),Frostfell,LG,,,"Law, Protection, War, Winter",Bastard Sword,Keep with 2 Towers on a Gray Glacier
262,Hleid ,(Frost p42),Frostfell,NG,,,"Animal, Good, Healing, Winter",Trident,Jagged Triangle surrounding a Vortex of Blue Fire
263,Iborighu ,(Frost p41),Frostfell,CE,,“Frozen King”,"Chaos, Cold, Death, War",Scythe,Icy Scythe rising from a Blood-Stained Snowdrift
264,Baervan Wildwanderer ,(F&P p132),Gnome,NG,I,"“The Masked Leaf”
Forest Gnomes, Travel, Nature","Animal, Gnome, Good, Plant, Travel","Halfspear
“Whisperleaf”",Raccoon’s Face
265,Baravar Cloakshadow ,(F&P p133),Gnome,NG,L,"“The Sly One”, “Master of Illusion”, “Lord of Disguise”
Illusions, Deception, Traps","Gnome, Good, Illusion, Protection, Trickery","Dagger
“Nightmare”",Cloak and Dagger
266,Callarduran Smoothhands ,"(CDiv p124)
 (F&P p133)
(MM p131)
(RoS p43)",Gnome,N,I,"“Deep Brother”, “Master of Stone”, “Lord of Deepearth”
Svirfneblin, Secrecy","Cavern, Craft, Earth, Gnome, Good, Healing, Protection","Battleaxe
“Spiderbane”",6-pointed Star on a Stone –or– Gold Ring with a Star Symbol
267,Flandal Steelskin ,(F&P p134),Gnome,NG,I,"“Master of Metal”, “The Great Steelsmith”
Mining, Smithing, Physical Fitness","Craft, Gnome, Good, Metal","Warhammer
“Rhondang”",Flaming Hammer
268,Gaerdal Ironhand ,(F&P p135),Gnome,LG,L,"“The Stern”, “Shield of the Golden Hills”
Vigilance, Combat, Martial Defense","Gnome, Good, Law, Protection, War","Warhammer
“Hammersong”",Iron Band
269,Gelf Darkearth ,(RoS p43),Gnome,CN,I,"Brother & rival of Garl Glittergold
Entropy, Revenge","Chaos, Destruction, War",Warhammer,Broken Anvil
270,"Glutton, The ",(RoS p44),Gnome,CE,L,"Disaster, Greed","Chaos, Destruction, Evil, Strength","Mace, Heavy",Tooth-Filled Mouth
271,Rill Cleverthrush ,(RoS p45),Gnome,LN,L,"Invention, Creation, Sky","Air, Knowledge, Magic, Travel",Longsword,Ruby
272,Segojan Earthcaller ,(F&P p136),Gnome,NG,I,"“Earthfriend”, “Lord of the Burrow”
Earth, Nature, The Dead","Cavern, Earth, Gnome, Good","Mace, Heavy
“Earthcaller”",Glowing Gemstone
273,Sheyanna Flaxenstrand ,(RoS p45),Gnome,CG,I,"Love, Beauty, Passion","Chaos, Fire, Good, Healing","Flail, Heavy",Crown & 2 Goblets
274,Urdlen ,"(F&P p137)
(DR323 p65)+",Gnome,CE,I,"“The Crawler Below”
Spriggans, Greed, Bloodlust, Hate","Chaos, Earth, Envy, Evil, Gluttony, Gnome, Hatred",Claw Bracer,White Mole
275,Kavaki ,(RoS p65),Goliath,N,G,"“The Ram-Lord”
Goliaths, Competition","Protection, Strength, Travel, War",Greatclub,2 Ram Horns
276,Kuliak ,(RoS p66),Goliath,N,D,"“The Dead Goddess”
The Dead, Exiles","Death, Magic, Travel, Water",Morningstar,Black Ram Horn
277,Manethak ,(RoS p66),Goliath,N,I,"“The Wise Hunter”
Hunting, Lore","Animal, Knowledge, Luck",Spear,Deer Tracks
278,Naki-Uthai ,(RoS p67),Goliath,N,L,"“The Brave Climber”
Mountains, Climbing, Bravery","Earth, Strength, Sun","Pick, Heavy",Double Fish-Hook
279,Theleya ,(RoS p68),Goliath,N,I,"“The Fertile One”
Fertility, Growth","Healing, Magic, Plant",Sickle,Strawberries
280,Vanua ,(RoS p68),Goliath,N,L,"“The Harbinger of Woe”
Natural Disasters, Misfortune","Destruction, Fire, Trickery","Flail, Heavy",Mountain with Fire
281,Al’Akbar ,(LLG p164),Greyhawk,LG,D,"“Restorer of Righteousness”, “High Cleric”
Guardianship, Faithfulness, Dignity, Duty","Good, Healing, Law, Protection",Falchion,Cup & Talisman
282,Allitur ,"(LLG p165) 
(DU117 p35)",Greyhawk,LN,L,"Ethics, Propriety","Good, Knowledge, Law",Shortspear,Pair of Clasped Hands
283,Atroa ,(LLG p165),Greyhawk,NG,L,"“The Sad Maiden”
Spring, East Wind, Renewal","Air, Good, Plant, Sun","Sling
“Wingstorm”",Heart with an Air Glyph
284,Beltar ,"(CDiv p121)
(LLG p166) 
(DR323 p65)+",Greyhawk,CE (CN),L,"Malice, Caves, Pits","Chaos, Earth, Envy, Evil, Pride, War, Wrath",Unarmed Strike –or– Spiked Gauntlet,Fangs Closing to Bite
285,Beory ,(LLG p166),Greyhawk,"N
(NG)",G,"“Oerth Mother”
Oerth, Nature, Rain","Animal, Earth, Plant, Water",Club –or– Druid Weapons,Green Disk –or– a Rotund Woman
286,Berei ,(LLG p167),Greyhawk,NG,L,"“Hearth Mother”
Home, Family, Agriculture","Good, Plant, Protection",Sickle,Sheaf of Wheat Stalks
287,Bleredd ,(LLG p167),Greyhawk,N,L,"“The Iron Mule”
Metal, Mines, Smiths","Earth, Fire, Strength","Warhammer
“Fury”",Iron Mule
288,Bralm ,"(CDiv p121)
 (LLG p168) 
(DR355 p26)+",Greyhawk,"N
(LN)",L,"“The Flying Queen”, “The Five Goddess”, “The Toiling Lady”
Insects, Industry","Animal, Community, Generosity, Law, Pact, Strength",Quarterstaff,Giant Wasp in front of an Insect Swarm
289,Celestian ,"(CDiv p121)
 (LLG p168) (DR342 p89)",Greyhawk,"N
(NG)",I,"“The Far Wanderer”
Stars, Astronomy, Wanderers","Knowledge, Oracle, Night, Protection, Travel",Shortspear,Jewelry with assorted Gemstones
290,Cyndor ,"(CDiv p121)
 (LLG p168) 
(DR355 p26)+",Greyhawk,LN,L,"“Keeper of Infinity”, “The Illimitable One”
Time, Infinity, Continuity","Humility, Law, Oracle, Protection, Travel",Sling,Rounded Hourglass of Black & White on its Side / Infinity Symbol
291,Dalt ,(LLG p169),Greyhawk,CG,L,"Portals, Doors, Locks, Keys","Chaos, Good, Protection, Travel, Trickery",Dagger,Locked Door with a Skeleton Key
292,Delleb ,"(CDiv p122)
 (LLG p169) 
(DR355 p26)+",Greyhawk,LG,L,"“The Scholar”, “The Scribe”
Reason, Intellect, Study, Written Lore","Good, Humility, Knowledge, Law, Magic",Dart,White Book
293,Fortubo ,(LLG p171),Greyhawk,"LG
(LN)",L,"Stone, Metals, Mountains, Guardianship","Earth, Good, Law, Protection","Warhammer
“Golbi”",Hammer with a Glowing  Head
294,Incabulos ,"(CDiv p122)
 (LGG p172)
 (DU105 p47) 
(DR323 p65)+",Greyhawk,NE,G,"“The Black Rider”
Plagues, Famine, Drought, Disaster","Death, Destruction, Evil, Pestilence, Wrath",Quarterstaff,Stylized Eye
295,Istus ,"(CDiv p122)
(LGG p172)",Greyhawk,N,G,"“Lady of Our Fate”, “The Colorless and All-Colored”
Fate, Destiny, Divination, Future","Chaos, Destiny, Knowledge, Law, Luck",n/a,Gold Spindle
296,Iuz ,"(CDiv p122)
 (LGG p173)
(DR323 p65)+
(DR358 p030)+",Greyhawk,CE,D,"“The Evil”, “The Old One”
Deceit, Pain, Oppression, Evil","Chaos, Evil, Pride, Suffering, Trickery",Greatsword,Grinning Skull
297,Jascar ,(LGG p173),Greyhawk,LG,L,"Hills, Mountains","Earth, Good, Law, Protection",Warhammer,Snow-Caped Mountain Peak
298,Kurell ,(LGG p174),Greyhawk,CN,L,"“The Bitter Hand”, “The Scorned Heart”, “The Vengeful Knave”
Jealousy, Revenge, Theft","Chaos, Luck, Trickery",Shortsword,Grasping Hand holding a Broken Coin
299,Lendor ,(LGG p174),Greyhawk,LN,I,"“Prince of Time”, “Master of Tedium”
Time, Patience, Study","Knowledge, Law, Protection","Greatsword
“Afterglow”",Crescent Moon in a field of Stars
300,Lirr ,"(CDiv p122)
 (LGG p175)",Greyhawk,CG,L,"“Lady Poet”, “The Lorekeeper”
Poetry, Prose, Literature, Art","Chaos, Good, Knowledge, Magic, Travel",Shortspear –or– Rapier,Illustrated Book
301,Llerg ,"(CDiv p122)
 (LGG p175)
(DR342 p89) 
(DR323 p65)+",Greyhawk,CN,L,"“Great Bear”, “Animal Fang”
Beasts, Strength","Animal, Chaos, Competition, Hunt, Strength Wrath",Battle Axe –or– Longsword,Bear –or– Snake –or– Alligator
302,Lydia ,(LGG p175),Greyhawk,NG,L,"Music, Knowledge, Daylight","Good, Knowledge, Sun, Travel",Shortspear,Spray of Colors from an Open Hand
303,Mayaheine ,"(LGG p175) 
(DU117 p35)
(DR346 p27)+",Greyhawk,LG,D,"“The Shield Maiden”
Protection, Justice, Valor","Good, Law, Protection, War","Bastard Sword, Mace, –or– Longbow",Decorated Shield
304,Merikka ,(LGG p176),Greyhawk,LG,D,"“Lady of the Calendar”
Farming, Agriculture, Home","Good, Law, Plant, Protection",Sickle,Basket of Grain with a Long Scroll
305,Mouqol ,"(CDiv p122)
 (LGG p176) (DR323 p65)+",Greyhawk,N,L,"“The Merchant”
Trade, Negotiation, Appraisal","Greed, Knowledge, Pact, Travel, Trickery",Dagger –or– Light Crossbow,
306,Myhriss ,(LGG p177),Greyhawk,NG,L,"“The Thrice-Kissed”, “Maid of Light and Dark”
Love, Romance, Beauty","Good, Healing, Protection",Shortbow –or– Whip,
307,Norebo ,(LGG p177),Greyhawk,CN,L,"“God of Gambles”
Luck, Gambling, Risks","Chaos, Luck, Trickery",Dagger,Pair of Eight-Sided Dice
308,Osprem ,"(CDiv p122)
 (LGG p178)",Greyhawk,LN,L,"Sea Voyages, Ships, Sailors","Law, Protection, Travel, Water",Longspear –or– Trident,Barracuda –or– Whale
309,Phaulkon ,(LGG p179),Greyhawk,CG,L,"Air, Wind, Clouds, Birds, Archery","Air, Animal, Chaos, Good, War",Longbow,Winged Human Silhouette
310,Pholtus ,"(CDiv p122)
 (LGG p178) 
(DR323 p65)+",Greyhawk,"LG
(LN)",I,"“Pholtus of the Blinding Light”
Light, Resolution, Law, Order, Sun","Good, Inquisition, Knowledge, Law, Pride, Sun","Quarterstaff
“Staff of the Silvery Sun”",Full Moon partially eclipsed by a Crescent Moon
311,Phyton ,(LGG p179),Greyhawk,CG,L,"“The Woodshaper”
Nature, Beauty, Farming","Chaos, Good, Plant, Sun, Water",Scimitar,Scimitar in front of an Oak Tree
312,Pyremius ,"(CDiv p123)
 (LGG p181) 
(DR323 p65)+",Greyhawk,NE,L,"“The Blazing Killer”, “Demon of Venom”, “Hideous Assassin”
Fire, Poison, Murder, Assassins, Fire","Destruction, Evil, Fire, Wrath","Longsword –or– Whip
“Red Light” –or– “Viper”",Demonic Face with Bat Wing Ears
313,Ralishaz ,(LGG p181),Greyhawk,"CN
(CE)",I,"“The Unlooked For”
Chance, Ill Luck, Misfortune, Insanity","Chaos, Destruction, Luck",Quarterstaff,Three Bone Sticks
314,Rao ,"(CDiv p123)
 (LGG p181) 
(DR355 p26)+",Greyhawk,LG,G,"“The Mediator”, “The Calm God”
Peace, Reason, Serenity","Charity, Chastity, Community, Law, Good, Knowledge, Purification, Temperance","Mace, Light",White Heart –or– a Mask with a Calm Expression
315,Raxivort ,(LGG p182),Greyhawk,CE,L,"“Lord of Xvartkind”, “Master of Rats”, “Night Flutterer”
Xvarts, Rats, Wererats, Bats","Animal, Chaos, Evil, Trickery","Falchion –or– Dagger
“Azure Razor”",Blue Flaming Hand
316,Rudd ,"(LGG p182) 
(DR342 p39)+",Greyhawk,"CN
(CG)",D,"“The Charm”, “The Duelist”
Chance, Luck, Skill","Chaos, Good, Luck",Rapier –or– Shortbow,Bull’s-Eye
317,Sotillion ,(LGG p183),Greyhawk,"CG
(CN)",L,"“The Summer Queen”
Summer, South Wind, Ease, Comfort","Air, Chaos, Good, Healing, Plant",Net,Winged Orange Tiger
318,Syrul ,(LGG p183),Greyhawk,NE,L,"“The Forked Tongue”, “Oathbreaker”
Lies, Deceit, Treachery, False Promises","Evil, Knowledge, Trickery","Dagger
“Small Lie”",Forked Tongue
319,Tharizdûn ,"(CDiv p123)
 (LoM p177)
(MM4 p007)
(LGG p184) 
(DR323 p65)+",Greyhawk,NE,I,"“The Dark God”, “He of Eternal Darkness”
Ruin, Elemental Power, Vengeance, Decay, Entropy, Insanity","Air, Chaos, Destruction, Earth, Envy, Evil, Fire, Force, Greed, Knowledge, Madness, Water",Dagger,Dark Spiral –or– an Inverted Pyramid
320,Trithereon ,"(CDiv p123)
 (LGG p185)",Greyhawk,CG,I,"“The Summoner”
Liberty, Self-Defense, Retribution","Chaos, Good, Liberation, Protection, Strength, Summoner",Shortspear –or– Longsword –or– Greatclub,Rune meaning ‘Pursuit’
321,Ulaa ,"(LGG p185) 
(DU117 p35)",Greyhawk,LG,I,"“The Stonewife”
Hills, Mountains, Gemstones","Earth, Good, Law",Warhammer,Mountain with Ruby Heart
322,Velnius ,(LGG p186),Greyhawk,"N
(NG)",L,"“The Rainshroud”, “The Elder Breeze”
Sky, Weather","Air, Travel, Water",Shortspear,Bird Perched on a Cloud
323,Wastri ,"(CDiv p123)
 (LGG p187) 
(DR323 p65)+",Greyhawk,"LN
(LE)",D,"“The Hopping Prophet”, “Hammer of False Humans”
Amphibians, Bigotry, Self-Deception","Animal, Law, Pride, Purification, War","Glaive –or– Guisarme
“Skewer of the Impure”",Gray Toad
324,Wenta ,(LGG p187),Greyhawk,CG,L,"“The Alewife”, “Harvest Daughter”
Autumn, West Wind, Harvest, Brewing","Air, Chaos, Good, Plant",Club,Large Mug of Bear
325,Xan Yae ,"(CDiv p123)
 (LGG p188) 
(DR323 p65)+ 
(DR355 p26)+",Greyhawk,N,L,"“Lady of Perfection”
Twilight, Shadows, Stealth, Mental Power","Celerity, Knowledge, Patience, Trickery, War",Falchion –or– Monk Weapons,
326,Xerbo ,(LGG p188),Greyhawk,N,L,"“The Sea Dragon”
Sea, Sailing, Money, Business","Animal, Knowledge, Water",Trident –or– Longspear,Dragon Turtle
327,Ye’Cind ,(LGG p188),Greyhawk,CG,D,"“The Bard”
Music, Magical Songs","Chaos, Good, Knowledge, Magic",Longsword,Recorder
328,Zagyg ,"(LGG p189) 
(DR338 p45)",Greyhawk,"CN
(CG)",D,"“The Mad Arch-Mage”
Humor, Eccentricity, Occult Lore, Unpredictability","Chaos, Knowledge, Magic",Dagger –or– Club,Rune meaning ‘Insanity’
329,Zilchus ,(LGG p189) (DU117 p35),Greyhawk,LN,I,"“The Great Guildmaster”, “The Money Counter”
Power, Prestige, Money, Business","Knowledge, Law, Trickery",Dagger,Hands Clutching a Bag of Gold
330,Zodal ,(LGG p189),Greyhawk,NG,L,"“The Gray Son”, “The Gentle Hand”
Mercy, Hope, Benevolence","Good, Healing, Protection",Unarmed Strike,Hand partially wrapped in Gray Cloth
331,Zuoken ,"(CDiv p123) (CDiv p123)
 (LGG p190) 
(DR355 p26)+",Greyhawk,N,D,"“Master of Da’Shon and Edel”
Physical and Mental Mastery, Monks","Celerity, Chastity, Knowledge, Patience, Strength, War",Unarmed Strike –or– Monk Weapons,Striking Fist
332,Arvoreen ,"(F&P p137)
(RotW p53)
(DR321 p76)+",Halfling,LG,I,"“The Defender”,“The Wary Sword”
Defense, War, Vigilance, Halfling Warriors, Duty","Good, Halfling, Law, Protection, War","Shortsword
“Aegis Heart”",Two Crossed Shortswords
333,Bandobaris ,"(F&P p138)
(RotW p53)",Halfling,N,L,"“The Irrepressible Scamp”
Stealth, Thievery, Adventuring, Halfling Rogues","Halfling, Luck, Travel, Trickery","Dagger
“Escape”",Halfling’s Footprint
334,Cyrollalee ,"(F&P p139)
(RotW p53)
(DR323 p65)+",Halfling,LG,I,"“The Hand of Fellowship”, “The Hearthkeeper”
Friendship, Trust, The Hearth, Hospitality, Crafts","Family, Generosity, Gluttony, Good, Halfling, Law, Sloth","Quarterstaff
“Camaradestave”",Open Door
335,Dallah Thuan ,(RotW p52),Halfling,CN,I,"“The Lady of Mystery”
Halflings, Secrets, Guile, Thieves & Rogues, Acquisition of Wealth, Death","Chaos, Knowledge, Luck, Trickery",Dagger,Purse of Coins being Emptied
336,Sheela Peryrolyl ,"(F&P p139)
(RotW p53) 
(DR323 p65)+",Halfling,N,I,"“Green Sister”, “Watchful Mother”
Nature, Agriculture, Weather, Dance, Beauty, Romantic Love","Air, Charm, Halfling, Lust, Plant, Sloth","Sickle
“Oak Thorn”",Daisy
337,Urogalan ,"(F&P p140)
(RotW p53) 
(DR355 p26)+",Halfling,LN,D,"“He Who Must Be”, “Lord of the Earth”, “The Black Hound”
Earth, Death, Protection of the Dead","Earth, Halfling, Law, Protection, Repose, Temperance","Flail
“Doom Thresher”",Silhouette of a Dog’s Head
338,Urbanus ,(RoD p18),Human,NG,L,"Cities, Growth, Improvement","City, Good, Knowledge, Protection","Mace, Heavy",Helmet shaped as a Domed Spire
339,Zarus ,(RoD p19),Human,LE,G,"Humanity, Domination, Perfection","Destiny, Evil, Law, Strength, War",Greatsword,Handsome Face
340,Aulasha ,(RoD p74),Illumian,LG,D,"“The Librarian”
Learning, Books, Grief","Good, Knowledge, Law",Warhammer,Book
341,Glautru ,(RoD p75),Illumian,N,D,"“The Seer”
Prophecy, Fate, Life and Death","Death, Destiny, Fire, Healing",Longsword,Brazier
342,Soorinek ,(RoD p75),Illumian,LE,D,"“The Doubter”
Intrigue, Secrets, Betrayal","Evil, Luck, Trickery",Scimitar,Star with Watching Eyes
343,Syeret ,(RoD p76),Illumian,CG,D,"“The Lightbringer”
Inspiration, Light, Creativity","Chaos, Sun, Travel",Mace,Setting Sun
